Movie,Year,Plex Status,Source,IMDB ID,TMDB ID,Collections,Tags,Posters,,Matt,Gabe,Griffin,Dan,Andrew,Ice,Image
American Underdog,2021,Yes,,tt11729298,673309,Biopic|Sports,,,,,,,,,,
American Wedding,2003,,,tt0328828,8273,Comedy,,,,,,,,,,
Amerikatsi,2022,Yes,,tt13616368,998757,Drama|History,Armenian,,,,,,,,,
Amistad,1997,****Request,,tt0118607,11831,Legal|History|Biopic,,,,,,,,,,
Amityville 1992: It's About Time,1992,,,tt0103678,41671,Horror,,,,,,,,,,
Amityville 3-D,1983,,,tt0085159,27214,Horror,,,,,,,,,,
Amityville Death House,2015,,,tt4471212,350751,Horror,,,,,,,,,,
Amityville Dollhouse,1996,,,tt0115535,52263,Horror,,,,,,,,,,
Amityville Horror: The Evil Escapes,1989,,,tt0096808,55377,Horror,,,,,,,,,,
Amityville II: The Possession,1982,,,tt0083550,16235,Horror,,,,,,,,,,
Amityville Playhouse,2015,,,tt4086116,335753,Horror,,,,,,,,,,
Amityville Toybox,2016,,,tt5189528,393154,Horror,,,,,,,,,,
Amityville: A New Generation,1993,,,tt0106262,33519,Horror,,,,,,,,,,
Amityville: No Escape,2016,,,tt5448998,409281,Horror,,,,,,,,,,
Amityville: The Awakening,2017,,,tt1935897,203835,Horror,,,,,,,,,,
Amityville: Vanishing Point,2016,,,tt5539186,396692,Horror,,,,,,,,,,
Amsterdam,2022,Yes,,tt10304142,664469,Crime|Dramedy,,,,,,,,,,
An American in Paris,1951,*Request,,tt0043278,2769,RomCom,,,,,,,,,,
An American Pickle,2020,,,tt9059704,628917,Comedy,,,,,,,,,,
An American Tail,1986,,,tt0090633,4978,Christmas,,,,,,,,,,
An American Warewolf in London,1981,****Request,,tt0082010,814,Monster,,,,,,,,,,
An Extremely Goofy Movie,2000,*Request,,tt0208185,15653,2D Animation,,,,,,,,,,
An Inspector Calls,2015,****Request,,tt4271918,359305,Mystery|Drama,Period,,,,,,,,,
An Officer and a Gentleman,1982,*Request,,tt0084434,2623,Romance,,,,,,,,,,
Anaconda,1997,****Request,,tt0118615,9360,Adventure|Monster,,,,,,,,,,
Analyze This,1999,,,tt0122933,9535,Comedy|Crime,,,,,,,,,,
Anastasia,1997,Yes,,tt0118617,9444,2D Animation,,,,,,,,,,
Anatomy of a Murder,1959,Yes,,tt0052561,93,Legal,,Legal,,,,,,,,
Anchorman 2: the Legend Continues,2013,Yes,,tt1229340,109443,Comedy,,,,,,,,,,
Anchorman: The Legend of Ron Burgundy,2004,Yes,,tt0357413,8699,Comedy,Period,Comedy,,,,,,,,
And Justice for All,1979,**Request,,tt0078718,17443,Legal,,,,,,,,,,
